Date,Open,High,Low,Close,Volume,Adj Close
2014-11-27,13.45,13.80,12.62,12.75,7838100,12.75
2014-11-26,13.63,13.64,13.22,13.27,14106900,13.27
2014-11-25,13.64,14.15,13.10,13.28,34940400,13.28
2014-11-24,14.16,14.50,13.31,13.43,34614100,13.43
2014-11-21,12.60,13.85,12.55,13.63,28072400,13.63
2014-11-20,12.26,12.26,12.26,12.26,000,12.26
2014-11-19,11.90,12.55,11.87,12.26,20033800,12.26
2014-11-18,12.21,12.44,11.53,11.94,28607800,11.94
2014-11-17,12.74,12.82,12.07,12.13,19567100,12.13
2014-11-14,12.49,12.92,12.42,12.78,20041100,12.78
2014-11-13,13.71,13.86,13.12,13.13,14200300,13.13
2014-11-12,13.49,13.97,13.33,13.54,9831100,13.54
2014-11-11,13.39,13.61,13.12,13.49,13384200,13.49
2014-11-10,13.88,13.88,13.39,13.41,13069100,13.41
2014-11-07,13.75,14.17,13.10,13.77,29633100,13.77
2014-11-06,13.75,13.77,13.33,13.55,16967200,13.55
2014-11-05,14.01,14.17,13.82,13.86,15712300,13.86
2014-11-04,14.35,14.39,13.82,14.25,12493700,14.25
2014-11-03,14.44,14.46,13.90,14.25,15982500,14.25
2014-10-31,13.80,14.65,13.79,14.65,16048200,14.65
2014-10-30,14.01,14.16,13.47,13.78,20705100,13.78
2014-10-29,14.12,14.25,13.53,13.53,27488400,13.53
2014-10-28,14.50,14.57,14.17,14.51,30985100,14.51
2014-10-27,14.07,14.07,14.07,14.07,103246900,14.07
2014-10-24,15.29,16.26,15.08,15.70,30966700,15.70
2014-10-23,15.81,15.90,15.01,15.05,53174100,15.05
2014-10-22,16.22,16.74,15.87,16.05,20367700,16.05
2014-10-21,16.36,16.36,16.36,16.36,73717200,16.36
2014-10-20,17.22,17.22,17.22,17.22,20612000,17.22
2014-10-17,18.39,18.53,17.72,18.18,21864500,18.18
2014-10-16,18.07,18.49,17.57,17.64,42770300,17.64
2014-10-15,19.52,19.70,18.51,19.02,40994900,19.02
2014-10-14,20.51,21.15,20.09,20.42,24596800,20.42
2014-10-13,20.00,21.04,19.87,20.75,30853800,20.75
2014-10-10,18.80,18.80,18.80,18.80,25711900,18.80
2014-10-09,20.09,20.52,19.91,19.96,28730100,19.96
2014-10-08,20.35,20.51,18.74,19.58,32130800,19.58
2014-10-07,19.68,20.45,19.37,19.95,46531500,19.95
2014-10-06,20.26,20.39,18.90,19.20,62466400,19.20
2014-10-03,16.76,17.51,16.44,17.50,20093200,17.50
2014-10-02,16.62,16.99,16.15,16.59,21991800,16.59
2014-10-01,16.82,17.05,16.27,16.40,38887500,16.40
2014-09-30,17.60,17.73,16.87,17.25,33624300,17.25
2014-09-29,18.11,18.25,17.61,17.75,39663700,17.75
2014-09-26,18.90,20.09,18.82,19.82,8907200,19.82
2014-09-25,19.09,19.10,18.78,18.82,7918900,18.82
